# command: ./dram --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dram,0,0,0,32,16384,1073741824,42,0,15845896,6589088,967.1567,402.1660,2.4049
dram,0,0,0,32,16384,1073741824,42,1,15853357,6592160,967.6121,402.3535,2.4049
dram,0,0,0,32,16384,1073741824,42,2,16936573,7042560,1033.7264,429.8438,2.4049
dram,0,0,0,32,16384,1073741824,42,3,15880030,6603296,969.2401,403.0332,2.4049
dram,0,0,0,32,16384,1073741824,42,4,15906462,6614208,970.8534,403.6992,2.4049
dram,0,0,0,32,16384,1073741824,42,5,15874075,6600800,968.8766,402.8809,2.4049
dram,0,0,0,32,16384,1073741824,42,6,15840209,6586720,966.8096,402.0215,2.4049
dram,0,0,0,32,16384,1073741824,42,7,15842488,6587648,966.9487,402.0781,2.4049
dram,0,0,0,32,16384,1073741824,42,8,15814097,6575872,965.2159,401.3594,2.4049
dram,0,0,0,32,16384,1073741824,42,9,15822915,6579488,965.7541,401.5801,2.4049
dram,0,0,0,32,16384,1073741824,42,10,15814899,6576192,965.2648,401.3789,2.4049
dram,0,0,0,32,16384,1073741824,42,11,15824453,6580160,965.8480,401.6211,2.4049
dram,0,0,0,32,16384,1073741824,42,12,15719319,6536480,959.4311,398.9551,2.4049
dram,0,0,0,32,16384,1073741824,42,13,15797072,6568864,964.1768,400.9316,2.4048
dram,0,0,0,32,16384,1073741824,42,14,15828971,6582016,966.1237,401.7344,2.4049
dram,0,0,0,32,16384,1073741824,42,15,15781846,6562368,963.2474,400.5352,2.4049
dram,0,0,0,32,16384,1073741824,42,16,15825236,6580480,965.8958,401.6406,2.4049
dram,0,0,0,32,16384,1073741824,42,17,15823212,6579616,965.7722,401.5879,2.4049
dram,0,0,0,32,16384,1073741824,42,18,15804447,6571872,964.6269,401.1152,2.4049
dram,0,0,0,32,16384,1073741824,42,19,15823717,6579840,965.8030,401.6016,2.4049
dram,0,0,0,32,16384,1073741824,42,20,15804243,6571776,964.6144,401.1094,2.4049
dram,0,0,0,32,16384,1073741824,42,21,15782605,6562816,963.2938,400.5625,2.4049
dram,0,0,0,32,16384,1073741824,42,22,15840583,6586880,966.8325,402.0312,2.4049
dram,0,0,0,32,16384,1073741824,42,23,15811774,6574912,965.0741,401.3008,2.4049
dram,0,0,0,32,16384,1073741824,42,24,15795360,6568128,964.0723,400.8867,2.4048
dram,0,0,0,32,16384,1073741824,42,25,15851555,6591456,967.5021,402.3105,2.4049
dram,0,0,0,32,16384,1073741824,42,26,15800059,6570048,964.3591,401.0039,2.4049
dram,0,0,0,32,16384,1073741824,42,27,15769536,6557312,962.4961,400.2266,2.4049
dram,0,0,0,32,16384,1073741824,42,28,15832535,6583520,966.3412,401.8262,2.4049
dram,0,0,0,32,16384,1073741824,42,29,15820853,6578656,965.6282,401.5293,2.4049
dram,0,0,0,32,16384,1073741824,42,30,15779878,6561632,963.1273,400.4902,2.4049
dram,0,0,0,32,16384,1073741824,42,31,15820951,6578752,965.6342,401.5352,2.4049
dram,0,0,0,32,16384,1073741824,42,32,15823905,6579968,965.8145,401.6094,2.4049
dram,0,0,0,32,16384,1073741824,42,33,15793390,6567264,963.9520,400.8340,2.4049
dram,0,0,0,32,16384,1073741824,42,34,15847276,6589632,967.2410,402.1992,2.4049
dram,0,0,0,32,16384,1073741824,42,35,15811189,6574624,965.0384,401.2832,2.4049
dram,0,0,0,32,16384,1073741824,42,36,15793019,6567072,963.9294,400.8223,2.4049
dram,0,0,0,32,16384,1073741824,42,37,16068762,6681760,980.7594,407.8223,2.4049
dram,0,0,0,32,16384,1073741824,42,38,15837265,6585504,966.6299,401.9473,2.4049
dram,0,0,0,32,16384,1073741824,42,39,15762400,6554400,962.0605,400.0488,2.4049
dram,0,0,0,32,16384,1073741824,42,40,16944238,7045856,1034.1942,430.0449,2.4049
dram,0,0,0,32,16384,1073741824,42,41,15821492,6578912,965.6672,401.5449,2.4049
dram,0,0,0,32,16384,1073741824,42,42,15797728,6569056,964.2168,400.9434,2.4049
dram,0,0,0,32,16384,1073741824,42,43,15827873,6581568,966.0567,401.7070,2.4049
dram,0,0,0,32,16384,1073741824,42,44,15783828,6563264,963.3684,400.5898,2.4049
dram,0,0,0,32,16384,1073741824,42,45,15801293,6570528,964.4344,401.0332,2.4049
dram,0,0,0,32,16384,1073741824,42,46,15824848,6580384,965.8721,401.6348,2.4049
dram,0,0,0,32,16384,1073741824,42,47,15827404,6581408,966.0281,401.6973,2.4049
dram,0,0,0,32,16384,1073741824,42,48,15791829,6566560,963.8568,400.7910,2.4049
dram,0,0,0,32,16384,1073741824,42,49,15815586,6576448,965.3068,401.3945,2.4049
dram,0,0,0,32,16384,1073741824,42,50,15817180,6577184,965.4041,401.4395,2.4049
dram,0,0,0,32,16384,1073741824,42,51,15809792,6574112,964.9531,401.2520,2.4049
dram,0,0,0,32,16384,1073741824,42,52,15820133,6578368,965.5843,401.5117,2.4049
dram,0,0,0,32,16384,1073741824,42,53,15818921,6577888,965.5103,401.4824,2.4049
dram,0,0,0,32,16384,1073741824,42,54,15774515,6559392,962.8000,400.3535,2.4049
dram,0,0,0,32,16384,1073741824,42,55,15828346,6581728,966.0856,401.7168,2.4049
dram,0,0,0,32,16384,1073741824,42,56,15808036,6573376,964.8459,401.2070,2.4049
dram,0,0,0,32,16384,1073741824,42,57,15797694,6569088,964.2147,400.9453,2.4049
dram,0,0,0,32,16384,1073741824,42,58,15820626,6578496,965.6144,401.5195,2.4049
dram,0,0,0,32,16384,1073741824,42,59,15804082,6571648,964.6046,401.1016,2.4049
dram,0,0,0,32,16384,1073741824,42,60,15803008,6571264,964.5391,401.0781,2.4049
dram,0,0,0,32,16384,1073741824,42,61,15813489,6575616,965.1788,401.3438,2.4049
dram,0,0,0,32,16384,1073741824,42,62,15787805,6564928,963.6111,400.6914,2.4049
dram,0,0,0,32,16384,1073741824,42,63,15832636,6583552,966.3474,401.8281,2.4049
dram,0,0,0,32,16384,1073741824,42,64,15821804,6579072,965.6863,401.5547,2.4049
dram,0,0,0,32,16384,1073741824,42,65,15796639,6568608,964.1503,400.9160,2.4049
dram,0,0,0,32,16384,1073741824,42,66,15783801,6563328,963.3668,400.5938,2.4048
dram,0,0,0,32,16384,1073741824,42,67,15828382,6581792,966.0878,401.7207,2.4049
dram,0,0,0,32,16384,1073741824,42,68,15785916,6564192,963.4958,400.6465,2.4049
dram,0,0,0,32,16384,1073741824,42,69,15814780,6576160,965.2576,401.3770,2.4049
dram,0,0,0,32,16384,1073741824,42,70,15816844,6576992,965.3835,401.4277,2.4049
dram,0,0,0,32,16384,1073741824,42,71,15779372,6561440,963.0964,400.4785,2.4049
dram,0,0,0,32,16384,1073741824,42,72,15853591,6592256,967.6264,402.3594,2.4049
dram,0,0,0,32,16384,1073741824,42,73,15827144,6581312,966.0122,401.6914,2.4049
dram,0,0,0,32,16384,1073741824,42,74,15783747,6563232,963.3635,400.5879,2.4049
dram,0,0,0,32,16384,1073741824,42,75,15837169,6585440,966.6241,401.9434,2.4049
dram,0,0,0,32,16384,1073741824,42,76,15822387,6579296,965.7219,401.5684,2.4049
dram,0,0,0,32,16384,1073741824,42,77,15783748,6563264,963.3635,400.5898,2.4049
dram,0,0,0,32,16384,1073741824,42,78,16931862,7040640,1033.4388,429.7266,2.4049
dram,0,0,0,32,16384,1073741824,42,79,15819673,6578176,965.5562,401.5000,2.4049
