# command: ./dsmem_remote --cluster-size 12 --distance 5 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dsmem_remote,12,5,1,128,16384,0,42,0,3078138,1280000,187.8746,78.1250,2.4048
dsmem_remote,12,5,1,128,16384,0,42,1,3078138,1280000,187.8746,78.1250,2.4048
dsmem_remote,12,5,1,128,16384,0,42,2,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,3,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,4,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,5,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,6,3078138,1280000,187.8746,78.1250,2.4048
dsmem_remote,12,5,1,128,16384,0,42,7,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,8,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,9,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,10,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,11,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,12,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,13,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,14,3078138,1280000,187.8746,78.1250,2.4048
dsmem_remote,12,5,1,128,16384,0,42,15,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,16,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,17,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,18,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,19,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,20,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,21,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,22,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,23,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,24,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,25,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,26,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,27,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,28,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,29,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,30,3078138,1280000,187.8746,78.1250,2.4048
dsmem_remote,12,5,1,128,16384,0,42,31,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,32,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,33,3078138,1279936,187.8746,78.1211,2.4049
dsmem_remote,12,5,1,128,16384,0,42,34,3078138,1279968,187.8746,78.1230,2.4049
dsmem_remote,12,5,1,128,16384,0,42,35,3078138,1279904,187.8746,78.1191,2.4050
