# command: ./l2 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
l2,0,0,0,32,16384,6291456,42,0,5568137,2315360,339.8521,141.3184,2.4049
l2,0,0,0,32,16384,6291456,42,1,5569156,2315744,339.9143,141.3418,2.4049
l2,0,0,0,32,16384,6291456,42,2,5572114,2316992,340.0948,141.4180,2.4049
l2,0,0,0,32,16384,6291456,42,3,5575946,2318560,340.3287,141.5137,2.4049
l2,0,0,0,32,16384,6291456,42,4,5573757,2317696,340.1951,141.4609,2.4049
l2,0,0,0,32,16384,6291456,42,5,5570365,2316224,339.9881,141.3711,2.4049
l2,0,0,0,32,16384,6291456,42,6,5574495,2318016,340.2402,141.4805,2.4049
l2,0,0,0,32,16384,6291456,42,7,5664152,2355296,345.7124,143.7559,2.4049
l2,0,0,0,32,16384,6291456,42,8,5569839,2316064,339.9560,141.3613,2.4049
l2,0,0,0,32,16384,6291456,42,9,5572393,2317152,340.1119,141.4277,2.4048
l2,0,0,0,32,16384,6291456,42,10,5574254,2317888,340.2255,141.4727,2.4049
l2,0,0,0,32,16384,6291456,42,11,5574244,2317888,340.2249,141.4727,2.4049
l2,0,0,0,32,16384,6291456,42,12,5569051,2315776,339.9079,141.3438,2.4048
l2,0,0,0,32,16384,6291456,42,13,5571784,2316928,340.0747,141.4141,2.4048
l2,0,0,0,32,16384,6291456,42,14,5571472,2316768,340.0557,141.4043,2.4048
l2,0,0,0,32,16384,6291456,42,15,5573349,2317536,340.1702,141.4512,2.4049
l2,0,0,0,32,16384,6291456,42,16,5570920,2316576,340.0220,141.3926,2.4048
l2,0,0,0,32,16384,6291456,42,17,5572717,2317248,340.1317,141.4336,2.4049
l2,0,0,0,32,16384,6291456,42,18,5571974,2316960,340.0863,141.4160,2.4049
l2,0,0,0,32,16384,6291456,42,19,5572223,2317088,340.1015,141.4238,2.4048
l2,0,0,0,32,16384,6291456,42,20,5570438,2316320,339.9926,141.3770,2.4049
l2,0,0,0,32,16384,6291456,42,21,5574070,2317856,340.2142,141.4707,2.4048
l2,0,0,0,32,16384,6291456,42,22,5570882,2316480,340.0197,141.3867,2.4049
l2,0,0,0,32,16384,6291456,42,23,5571453,2316768,340.0545,141.4043,2.4048
l2,0,0,0,32,16384,6291456,42,24,5569763,2316064,339.9514,141.3613,2.4048
l2,0,0,0,32,16384,6291456,42,25,5573764,2317696,340.1956,141.4609,2.4049
l2,0,0,0,32,16384,6291456,42,26,5572833,2317280,340.1387,141.4355,2.4049
l2,0,0,0,32,16384,6291456,42,27,5572659,2317248,340.1281,141.4336,2.4049
l2,0,0,0,32,16384,6291456,42,28,5577214,2319136,340.4061,141.5488,2.4049
l2,0,0,0,32,16384,6291456,42,29,5570931,2316480,340.0226,141.3867,2.4049
l2,0,0,0,32,16384,6291456,42,30,5566516,2314688,339.7532,141.2773,2.4049
l2,0,0,0,32,16384,6291456,42,31,5573907,2317760,340.2043,141.4648,2.4049
l2,0,0,0,32,16384,6291456,42,32,5572784,2317312,340.1357,141.4375,2.4048
l2,0,0,0,32,16384,6291456,42,33,5571780,2316864,340.0745,141.4102,2.4049
l2,0,0,0,32,16384,6291456,42,34,5571783,2316864,340.0746,141.4102,2.4049
l2,0,0,0,32,16384,6291456,42,35,5571861,2316928,340.0794,141.4141,2.4048
l2,0,0,0,32,16384,6291456,42,36,5573871,2317728,340.2021,141.4629,2.4049
l2,0,0,0,32,16384,6291456,42,37,5573810,2317696,340.1984,141.4609,2.4049
l2,0,0,0,32,16384,6291456,42,38,5574001,2317792,340.2100,141.4668,2.4049
