# command: ./chain --buffer-kib 2097152 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 536870912
# stride_bytes: 0
# cycle_length: 536870912
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,2147483648,0,42,0,15911952,6597024,971.1885,402.6504,2.4120
chain,0,0,0,32,16384,2147483648,0,42,1,15894912,6589536,970.1484,402.1934,2.4121
chain,0,0,0,32,16384,2147483648,0,42,2,15972164,6622688,974.8635,404.2168,2.4117
chain,0,0,0,32,16384,2147483648,0,42,3,15972290,6622624,974.8712,404.2129,2.4118
chain,0,0,0,32,16384,2147483648,0,42,4,15872953,6581824,968.8082,401.7227,2.4116
chain,0,0,0,32,16384,2147483648,0,42,5,15952105,6614400,973.6392,403.7109,2.4117
chain,0,0,0,32,16384,2147483648,0,42,6,15904961,6594496,970.7618,402.4961,2.4119
chain,0,0,0,32,16384,2147483648,0,42,7,15876027,6582592,968.9958,401.7695,2.4118
chain,0,0,0,32,16384,2147483648,0,42,8,15920551,6601216,971.7133,402.9062,2.4118
chain,0,0,0,32,16384,2147483648,0,42,9,15891415,6588512,969.9350,402.1309,2.4120
chain,0,0,0,32,16384,2147483648,0,42,10,15841360,6568000,966.8799,400.8789,2.4119
chain,0,0,0,32,16384,2147483648,0,42,11,15918154,6599968,971.5670,402.8301,2.4119
chain,0,0,0,32,16384,2147483648,0,42,12,15904632,6594752,970.7417,402.5117,2.4117
chain,0,0,0,32,16384,2147483648,0,42,13,15863151,6576736,968.2099,401.4121,2.4120
chain,0,0,0,32,16384,2147483648,0,42,14,15914216,6598944,971.3267,402.7676,2.4116
chain,0,0,0,32,16384,2147483648,0,42,15,15831792,6564576,966.2959,400.6699,2.4117
chain,0,0,0,32,16384,2147483648,0,42,16,15852761,6572864,967.5757,401.1758,2.4118
chain,0,0,0,32,16384,2147483648,0,42,17,15918255,6600032,971.5732,402.8340,2.4118
chain,0,0,0,32,16384,2147483648,0,42,18,15889811,6588672,969.8371,402.1406,2.4117
chain,0,0,0,32,16384,2147483648,0,42,19,15860169,6576160,968.0279,401.3770,2.4118
chain,0,0,0,32,16384,2147483648,0,42,20,15882667,6585984,969.4011,401.9766,2.4116
