# command: ./chain --buffer-kib 98304 --carveout 0 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 25165824
# stride_bytes: 0
# cycle_length: 25165824
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,100663296,0,42,0,15806810,6553856,964.7711,400.0156,2.4118
chain,0,0,0,32,16384,100663296,0,42,1,15744098,6528000,960.9435,398.4375,2.4118
chain,0,0,0,32,16384,100663296,0,42,2,15676273,6499968,956.8038,396.7266,2.4117
chain,0,0,0,32,16384,100663296,0,42,3,15605217,6470368,952.4669,394.9199,2.4118
chain,0,0,0,32,16384,100663296,0,42,4,15494784,6425024,945.7266,392.1523,2.4116
chain,0,0,0,32,16384,100663296,0,42,5,15454331,6408352,943.2575,391.1348,2.4116
chain,0,0,0,32,16384,100663296,0,42,6,15394106,6382688,939.5817,389.5684,2.4119
chain,0,0,0,32,16384,100663296,0,42,7,15340796,6360832,936.3279,388.2344,2.4118
chain,0,0,0,32,16384,100663296,0,42,8,15261612,6328320,931.4949,386.2500,2.4116
chain,0,0,0,32,16384,100663296,0,42,9,15266869,6330848,931.8157,386.4043,2.4115
chain,0,0,0,32,16384,100663296,0,42,10,15240504,6320192,930.2065,385.7539,2.4114
chain,0,0,0,32,16384,100663296,0,42,11,15267688,6330720,931.8657,386.3965,2.4117
chain,0,0,0,32,16384,100663296,0,42,12,15171793,6291168,926.0128,383.9824,2.4116
chain,0,0,0,32,16384,100663296,0,42,13,15248419,6322496,930.6896,385.8945,2.4118
chain,0,0,0,32,16384,100663296,0,42,14,15223847,6312864,929.1899,385.3066,2.4116
chain,0,0,0,32,16384,100663296,0,42,15,15246007,6322080,930.5424,385.8691,2.4115
chain,0,0,0,32,16384,100663296,0,42,16,15202821,6303968,927.9066,384.7637,2.4116
chain,0,0,0,32,16384,100663296,0,42,17,15203767,6303872,927.9643,384.7578,2.4118
chain,0,0,0,32,16384,100663296,0,42,18,15223457,6312704,929.1661,385.2969,2.4116
chain,0,0,0,32,16384,100663296,0,42,19,15192742,6299744,927.2914,384.5059,2.4116
chain,0,0,0,32,16384,100663296,0,42,20,15180921,6294624,926.5699,384.1934,2.4117
