# command: ./dram --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 268435456
# stride_bytes: 0
# cycle_length: 268435456
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dram,0,0,0,32,16384,1073741824,0,42,0,15877432,6602208,969.0815,402.9668,2.4049
dram,0,0,0,32,16384,1073741824,0,42,1,15848627,6590176,967.3234,402.2324,2.4049
dram,0,0,0,32,16384,1073741824,0,42,2,15867900,6598272,968.4998,402.7266,2.4049
dram,0,0,0,32,16384,1073741824,0,42,3,15864467,6596800,968.2902,402.6367,2.4049
dram,0,0,0,32,16384,1073741824,0,42,4,15872293,6600064,968.7679,402.8359,2.4049
dram,0,0,0,32,16384,1073741824,0,42,5,15869251,6598752,968.5822,402.7559,2.4049
dram,0,0,0,32,16384,1073741824,0,42,6,15831073,6582880,966.2520,401.7871,2.4049
dram,0,0,0,32,16384,1073741824,0,42,7,15803659,6571488,964.5788,401.0918,2.4049
dram,0,0,0,32,16384,1073741824,0,42,8,15812158,6575008,965.0975,401.3066,2.4049
dram,0,0,0,32,16384,1073741824,0,42,9,15835405,6584672,966.5164,401.8965,2.4049
dram,0,0,0,32,16384,1073741824,0,42,10,15799581,6569792,964.3299,400.9883,2.4049
dram,0,0,0,32,16384,1073741824,0,42,11,15806354,6572576,964.7433,401.1582,2.4049
dram,0,0,0,32,16384,1073741824,0,42,12,15829362,6582176,966.1476,401.7441,2.4049
dram,0,0,0,32,16384,1073741824,0,42,13,15813854,6575744,965.2010,401.3516,2.4049
dram,0,0,0,32,16384,1073741824,0,42,14,15790740,6566144,963.7903,400.7656,2.4049
dram,0,0,0,32,16384,1073741824,0,42,15,15820305,6578432,965.5948,401.5156,2.4049
dram,0,0,0,32,16384,1073741824,0,42,16,15810822,6574496,965.0160,401.2754,2.4049
dram,0,0,0,32,16384,1073741824,0,42,17,15820342,6578464,965.5970,401.5176,2.4049
dram,0,0,0,32,16384,1073741824,0,42,18,16682082,6936800,1018.1935,423.3887,2.4049
dram,0,0,0,32,16384,1073741824,0,42,19,15820716,6578624,965.6199,401.5273,2.4049
dram,0,0,0,32,16384,1073741824,0,42,20,15826341,6580960,965.9632,401.6699,2.4049
dram,0,0,0,32,16384,1073741824,0,42,21,15792238,6566784,963.8817,400.8047,2.4049
dram,0,0,0,32,16384,1073741824,0,42,22,15810108,6574208,964.9724,401.2578,2.4049
dram,0,0,0,32,16384,1073741824,0,42,23,15787365,6564768,963.5843,400.6816,2.4049
dram,0,0,0,32,16384,1073741824,0,42,24,15821492,6578944,965.6672,401.5469,2.4049
dram,0,0,0,32,16384,1073741824,0,42,25,15807692,6573216,964.8250,401.1973,2.4049
dram,0,0,0,32,16384,1073741824,0,42,26,15835282,6584672,966.5089,401.8965,2.4049
dram,0,0,0,32,16384,1073741824,0,42,27,17301870,7194528,1056.0223,439.1191,2.4049
dram,0,0,0,32,16384,1073741824,0,42,28,15804025,6571648,964.6011,401.1016,2.4049
dram,0,0,0,32,16384,1073741824,0,42,29,15806553,6572672,964.7554,401.1641,2.4049
dram,0,0,0,32,16384,1073741824,0,42,30,15828728,6581952,966.1089,401.7305,2.4049
dram,0,0,0,32,16384,1073741824,0,42,31,15796769,6568672,964.1583,400.9199,2.4049
dram,0,0,0,32,16384,1073741824,0,42,32,15817790,6577344,965.4413,401.4492,2.4049
dram,0,0,0,32,16384,1073741824,0,42,33,15815189,6576320,965.2825,401.3867,2.4049
dram,0,0,0,32,16384,1073741824,0,42,34,15803001,6571232,964.5386,401.0762,2.4049
dram,0,0,0,32,16384,1073741824,0,42,35,15812343,6575136,965.1088,401.3145,2.4049
dram,0,0,0,32,16384,1073741824,0,42,36,15838239,6585856,966.6894,401.9688,2.4049
dram,0,0,0,32,16384,1073741824,0,42,37,15803326,6571360,964.5585,401.0840,2.4049
dram,0,0,0,32,16384,1073741824,0,42,38,15796828,6568672,964.1619,400.9199,2.4049
dram,0,0,0,32,16384,1073741824,0,42,39,15799566,6569792,964.3290,400.9883,2.4049
dram,0,0,0,32,16384,1073741824,0,42,40,15807337,6573056,964.8033,401.1875,2.4049
dram,0,0,0,32,16384,1073741824,0,42,41,15847926,6589920,967.2806,402.2168,2.4049
dram,0,0,0,32,16384,1073741824,0,42,42,15815571,6576448,965.3058,401.3945,2.4049
dram,0,0,0,32,16384,1073741824,0,42,43,15685655,6522624,957.3764,398.1094,2.4048
dram,0,0,0,32,16384,1073741824,0,42,44,15806498,6572704,964.7521,401.1660,2.4049
dram,0,0,0,32,16384,1073741824,0,42,45,15803850,6571584,964.5905,401.0977,2.4049
dram,0,0,0,32,16384,1073741824,0,42,46,15791886,6566592,963.8602,400.7930,2.4049
dram,0,0,0,32,16384,1073741824,0,42,47,15854602,6592672,967.6881,402.3848,2.4049
dram,0,0,0,32,16384,1073741824,0,42,48,15783227,6563008,963.3317,400.5742,2.4049
dram,0,0,0,32,16384,1073741824,0,42,49,15812453,6575104,965.1155,401.3125,2.4049
dram,0,0,0,32,16384,1073741824,0,42,50,15846688,6589408,967.2051,402.1855,2.4049
dram,0,0,0,32,16384,1073741824,0,42,51,15755951,6551712,961.6669,399.8848,2.4049
dram,0,0,0,32,16384,1073741824,0,42,52,15819848,6578240,965.5669,401.5039,2.4049
dram,0,0,0,32,16384,1073741824,0,42,53,15840600,6586880,966.8335,402.0312,2.4049
dram,0,0,0,32,16384,1073741824,0,42,54,15809521,6573984,964.9366,401.2441,2.4049
dram,0,0,0,32,16384,1073741824,0,42,55,15825652,6580640,965.9211,401.6504,2.4049
dram,0,0,0,32,16384,1073741824,0,42,56,15793371,6567392,963.9509,400.8418,2.4048
dram,0,0,0,32,16384,1073741824,0,42,57,15800975,6570368,964.4150,401.0234,2.4049
dram,0,0,0,32,16384,1073741824,0,42,58,15815635,6576480,965.3098,401.3965,2.4049
dram,0,0,0,32,16384,1073741824,0,42,59,15851026,6591200,967.4698,402.2949,2.4049
