# command: ./dram --stride 512 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 268435456
# stride_bytes: 512
# cycle_length: 2097152
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dram,0,0,0,32,16384,1073741824,512,42,0,15578544,6477888,950.8389,395.3789,2.4049
dram,0,0,0,32,16384,1073741824,512,42,1,15582851,6479648,951.1017,395.4863,2.4049
dram,0,0,0,32,16384,1073741824,512,42,2,15579356,6478240,950.8884,395.4004,2.4049
dram,0,0,0,32,16384,1073741824,512,42,3,15616522,6493696,953.1569,396.3438,2.4049
dram,0,0,0,32,16384,1073741824,512,42,4,15584558,6480352,951.2059,395.5293,2.4049
dram,0,0,0,32,16384,1073741824,512,42,5,15619087,6494784,953.3134,396.4102,2.4049
dram,0,0,0,32,16384,1073741824,512,42,6,15573843,6475904,950.5519,395.2578,2.4049
dram,0,0,0,32,16384,1073741824,512,42,7,15572308,6475296,950.4583,395.2207,2.4049
dram,0,0,0,32,16384,1073741824,512,42,8,15599633,6486688,952.1260,395.9160,2.4049
dram,0,0,0,32,16384,1073741824,512,42,9,15628872,6498848,953.9106,396.6582,2.4049
dram,0,0,0,32,16384,1073741824,512,42,10,15572778,6475488,950.4869,395.2324,2.4049
dram,0,0,0,32,16384,1073741824,512,42,11,15616006,6493440,953.1254,396.3281,2.4049
dram,0,0,0,32,16384,1073741824,512,42,12,15610296,6491104,952.7769,396.1855,2.4049
dram,0,0,0,32,16384,1073741824,512,42,13,15603274,6488160,952.3483,396.0059,2.4049
dram,0,0,0,32,16384,1073741824,512,42,14,15598060,6486016,952.0300,395.8750,2.4049
dram,0,0,0,32,16384,1073741824,512,42,15,15611699,6491680,952.8625,396.2207,2.4049
dram,0,0,0,32,16384,1073741824,512,42,16,15594377,6484448,951.8052,395.7793,2.4049
dram,0,0,0,32,16384,1073741824,512,42,17,15591918,6483424,951.6552,395.7168,2.4049
dram,0,0,0,32,16384,1073741824,512,42,18,15595183,6484800,951.8544,395.8008,2.4049
dram,0,0,0,32,16384,1073741824,512,42,19,15596331,6485280,951.9245,395.8301,2.4049
dram,0,0,0,32,16384,1073741824,512,42,20,15633231,6500576,954.1767,396.7637,2.4049
dram,0,0,0,32,16384,1073741824,512,42,21,15594064,6484352,951.7861,395.7734,2.4049
dram,0,0,0,32,16384,1073741824,512,42,22,15570537,6474560,950.3502,395.1758,2.4049
dram,0,0,0,32,16384,1073741824,512,42,23,15603987,6488480,952.3918,396.0254,2.4049
dram,0,0,0,32,16384,1073741824,512,42,24,15589686,6482496,951.5189,395.6602,2.4049
dram,0,0,0,32,16384,1073741824,512,42,25,15588667,6482080,951.4567,395.6348,2.4049
dram,0,0,0,32,16384,1073741824,512,42,26,15610677,6491232,952.8001,396.1934,2.4049
dram,0,0,0,32,16384,1073741824,512,42,27,15594234,6484448,951.7965,395.7793,2.4049
dram,0,0,0,32,16384,1073741824,512,42,28,15587260,6481536,951.3708,395.6016,2.4049
dram,0,0,0,32,16384,1073741824,512,42,29,15598571,6486208,952.0612,395.8867,2.4049
dram,0,0,0,32,16384,1073741824,512,42,30,15576839,6477216,950.7348,395.3379,2.4049
dram,0,0,0,32,16384,1073741824,512,42,31,15605951,6489344,952.5117,396.0781,2.4049
dram,0,0,0,32,16384,1073741824,512,42,32,15601633,6487488,952.2481,395.9648,2.4049
dram,0,0,0,32,16384,1073741824,512,42,33,15565607,6472512,950.0493,395.0508,2.4049
