# command: ./dram --stride random --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 268435456
# stride_bytes: 0
# cycle_length: 268435456
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dram,0,0,0,32,16384,1073741824,0,42,0,15785758,6564096,963.4862,400.6406,2.4049
dram,0,0,0,32,16384,1073741824,0,42,1,15855485,6593024,967.7420,402.4062,2.4049
dram,0,0,0,32,16384,1073741824,0,42,2,15850503,6591008,967.4379,402.2832,2.4049
dram,0,0,0,32,16384,1073741824,0,42,3,15901646,6612288,970.5594,403.5820,2.4049
dram,0,0,0,32,16384,1073741824,0,42,4,15910128,6615808,971.0771,403.7969,2.4049
dram,0,0,0,32,16384,1073741824,0,42,5,15843871,6588256,967.0331,402.1152,2.4049
dram,0,0,0,32,16384,1073741824,0,42,6,15842317,6587584,966.9383,402.0742,2.4049
dram,0,0,0,32,16384,1073741824,0,42,7,15830108,6582560,966.1931,401.7676,2.4049
dram,0,0,0,32,16384,1073741824,0,42,8,15799200,6569632,964.3066,400.9785,2.4049
dram,0,0,0,32,16384,1073741824,0,42,9,15813632,6575648,965.1875,401.3457,2.4049
dram,0,0,0,32,16384,1073741824,0,42,10,15807926,6573312,964.8392,401.2031,2.4049
dram,0,0,0,32,16384,1073741824,0,42,11,16059192,6677760,980.1753,407.5781,2.4049
dram,0,0,0,32,16384,1073741824,0,42,12,15810482,6574336,964.9952,401.2656,2.4049
dram,0,0,0,32,16384,1073741824,0,42,13,15801134,6570496,964.4247,401.0312,2.4049
dram,0,0,0,32,16384,1073741824,0,42,14,15808796,6573664,964.8923,401.2246,2.4049
dram,0,0,0,32,16384,1073741824,0,42,15,15797018,6568736,964.1735,400.9238,2.4049
