# command: ./dsmem_remote --cluster-size 12 --distance 9 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dsmem_remote,12,9,1,128,16384,0,0,42,0,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,1,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,2,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,3,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,4,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,5,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,6,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,7,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,8,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,9,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,10,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,11,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,12,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,13,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,14,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,15,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,16,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,17,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,18,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,19,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,20,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,21,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,22,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,23,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,24,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,25,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,26,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,27,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,28,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,29,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,30,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,31,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,32,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,33,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,34,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,35,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,36,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,37,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,38,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,39,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,40,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,41,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,42,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,43,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,44,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,45,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,46,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,47,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,48,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,49,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,50,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,51,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,52,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,53,3143674,1307264,191.8746,79.7891,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,54,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,55,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,56,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,57,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,58,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,59,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,60,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,61,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,62,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,63,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,64,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,65,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,66,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,67,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,68,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,69,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,70,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,71,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,72,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,73,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,74,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,75,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,76,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,77,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,78,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,79,3143674,1307232,191.8746,79.7871,2.4048
dsmem_remote,12,9,1,128,16384,0,0,42,80,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,81,3143674,1307200,191.8746,79.7852,2.4049
dsmem_remote,12,9,1,128,16384,0,0,42,82,3143674,1307168,191.8746,79.7832,2.4050
dsmem_remote,12,9,1,128,16384,0,0,42,83,3143674,1307200,191.8746,79.7852,2.4049
