# command: ./dsmem_remote --cluster-size 2 --distance 1 --stride 2048 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 2048
# cycle_length: 8
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dsmem_remote,2,1,1,128,16384,0,2048,42,0,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,1,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,2,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,3,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,4,3454970,1436640,210.8746,87.6855,2.4049
dsmem_remote,2,1,1,128,16384,0,2048,42,5,3454970,1436704,210.8746,87.6895,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,6,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,7,3454970,1436736,210.8746,87.6914,2.4047
dsmem_remote,2,1,1,128,16384,0,2048,42,8,3454970,1436640,210.8746,87.6855,2.4049
dsmem_remote,2,1,1,128,16384,0,2048,42,9,3454970,1436640,210.8746,87.6855,2.4049
dsmem_remote,2,1,1,128,16384,0,2048,42,10,3454970,1436640,210.8746,87.6855,2.4049
dsmem_remote,2,1,1,128,16384,0,2048,42,11,3454970,1436608,210.8746,87.6836,2.4049
dsmem_remote,2,1,1,128,16384,0,2048,42,12,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,13,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,14,3454970,1436704,210.8746,87.6895,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,15,3454970,1436704,210.8746,87.6895,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,16,3454970,1436672,210.8746,87.6875,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,17,3454970,1436640,210.8746,87.6855,2.4049
dsmem_remote,2,1,1,128,16384,0,2048,42,18,3454970,1436704,210.8746,87.6895,2.4048
dsmem_remote,2,1,1,128,16384,0,2048,42,19,3454970,1436672,210.8746,87.6875,2.4048
