# command: ./l2 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 1572864
# stride_bytes: 0
# cycle_length: 1572864
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
l2,0,0,0,32,16384,6291456,0,42,0,5570226,2316224,339.9796,141.3711,2.4049
l2,0,0,0,32,16384,6291456,0,42,1,5567154,2314976,339.7921,141.2949,2.4048
l2,0,0,0,32,16384,6291456,0,42,2,5571157,2316736,340.0364,141.4023,2.4047
l2,0,0,0,32,16384,6291456,0,42,3,5578715,2319776,340.4977,141.5879,2.4049
l2,0,0,0,32,16384,6291456,0,42,4,5572250,2317088,340.1031,141.4238,2.4049
l2,0,0,0,32,16384,6291456,0,42,5,5571176,2316640,340.0376,141.3965,2.4049
l2,0,0,0,32,16384,6291456,0,42,6,5573360,2317536,340.1709,141.4512,2.4049
l2,0,0,0,32,16384,6291456,0,42,7,5574713,2318112,340.2535,141.4863,2.4049
l2,0,0,0,32,16384,6291456,0,42,8,5571396,2316736,340.0510,141.4023,2.4048
l2,0,0,0,32,16384,6291456,0,42,9,5571937,2316896,340.0840,141.4121,2.4049
l2,0,0,0,32,16384,6291456,0,42,10,5574472,2318016,340.2388,141.4805,2.4048
l2,0,0,0,32,16384,6291456,0,42,11,5573192,2317440,340.1606,141.4453,2.4049
l2,0,0,0,32,16384,6291456,0,42,12,5568346,2315456,339.8649,141.3242,2.4049
l2,0,0,0,32,16384,6291456,0,42,13,5571423,2316736,340.0527,141.4023,2.4049
l2,0,0,0,32,16384,6291456,0,42,14,5571095,2316576,340.0327,141.3926,2.4049
l2,0,0,0,32,16384,6291456,0,42,15,5572739,2317248,340.1330,141.4336,2.4049
l2,0,0,0,32,16384,6291456,0,42,16,5569519,2316000,339.9365,141.3574,2.4048
l2,0,0,0,32,16384,6291456,0,42,17,5572593,2317184,340.1241,141.4297,2.4049
l2,0,0,0,32,16384,6291456,0,42,18,5570732,2316480,340.0105,141.3867,2.4048
l2,0,0,0,32,16384,6291456,0,42,19,5574214,2317888,340.2230,141.4727,2.4049
l2,0,0,0,32,16384,6291456,0,42,20,5572694,2317280,340.1302,141.4355,2.4048
l2,0,0,0,32,16384,6291456,0,42,21,5572882,2317312,340.1417,141.4375,2.4049
l2,0,0,0,32,16384,6291456,0,42,22,5570631,2316352,340.0043,141.3789,2.4049
l2,0,0,0,32,16384,6291456,0,42,23,5571296,2316672,340.0449,141.3984,2.4049
l2,0,0,0,32,16384,6291456,0,42,24,5565485,2314240,339.6902,141.2500,2.4049
l2,0,0,0,32,16384,6291456,0,42,25,5838934,2427968,356.3802,148.1914,2.4049
l2,0,0,0,32,16384,6291456,0,42,26,5572815,2317280,340.1376,141.4355,2.4049
l2,0,0,0,32,16384,6291456,0,42,27,5571735,2316832,340.0717,141.4082,2.4049
l2,0,0,0,32,16384,6291456,0,42,28,5575680,2318496,340.3125,141.5098,2.4049
l2,0,0,0,32,16384,6291456,0,42,29,5572750,2317248,340.1337,141.4336,2.4049
l2,0,0,0,32,16384,6291456,0,42,30,5569877,2316064,339.9583,141.3613,2.4049
l2,0,0,0,32,16384,6291456,0,42,31,5575681,2318464,340.3126,141.5078,2.4049
l2,0,0,0,32,16384,6291456,0,42,32,5572906,2317344,340.1432,141.4395,2.4049
l2,0,0,0,32,16384,6291456,0,42,33,5573888,2317728,340.2031,141.4629,2.4049
l2,0,0,0,32,16384,6291456,0,42,34,5570975,2316544,340.0253,141.3906,2.4049
l2,0,0,0,32,16384,6291456,0,42,35,5573758,2317696,340.1952,141.4609,2.4049
l2,0,0,0,32,16384,6291456,0,42,36,5576671,2318880,340.3730,141.5332,2.4049
l2,0,0,0,32,16384,6291456,0,42,37,5572687,2317216,340.1298,141.4316,2.4049
l2,0,0,0,32,16384,6291456,0,42,38,5573929,2317760,340.2056,141.4648,2.4049
l2,0,0,0,32,16384,6291456,0,42,39,5568686,2315680,339.8856,141.3379,2.4048
l2,0,0,0,32,16384,6291456,0,42,40,5573028,2317440,340.1506,141.4453,2.4048
