# command: ./l2 --stride 64 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 1572864
# stride_bytes: 64
# cycle_length: 98304
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
l2,0,0,0,32,16384,6291456,64,42,0,5590619,2324704,341.2243,141.8887,2.4049
l2,0,0,0,32,16384,6291456,64,42,1,5589349,2324192,341.1468,141.8574,2.4049
l2,0,0,0,32,16384,6291456,64,42,2,5589764,2324384,341.1721,141.8691,2.4048
l2,0,0,0,32,16384,6291456,64,42,3,5590312,2324608,341.2056,141.8828,2.4048
l2,0,0,0,32,16384,6291456,64,42,4,5589897,2324384,341.1802,141.8691,2.4049
l2,0,0,0,32,16384,6291456,64,42,5,5590135,2324480,341.1948,141.8750,2.4049
l2,0,0,0,32,16384,6291456,64,42,6,5590038,2324448,341.1888,141.8730,2.4049
l2,0,0,0,32,16384,6291456,64,42,7,5589034,2324032,341.1276,141.8477,2.4049
l2,0,0,0,32,16384,6291456,64,42,8,5590182,2324512,341.1976,141.8770,2.4049
l2,0,0,0,32,16384,6291456,64,42,9,5590520,2324672,341.2183,141.8867,2.4049
l2,0,0,0,32,16384,6291456,64,42,10,5590164,2324544,341.1965,141.8789,2.4048
l2,0,0,0,32,16384,6291456,64,42,11,5589617,2324288,341.1631,141.8633,2.4049
l2,0,0,0,32,16384,6291456,64,42,12,5589419,2324160,341.1511,141.8555,2.4049
l2,0,0,0,32,16384,6291456,64,42,13,5589623,2324320,341.1635,141.8652,2.4048
l2,0,0,0,32,16384,6291456,64,42,14,5590393,2324576,341.2105,141.8809,2.4049
l2,0,0,0,32,16384,6291456,64,42,15,5589333,2324160,341.1458,141.8555,2.4049
l2,0,0,0,32,16384,6291456,64,42,16,5588894,2324000,341.1190,141.8457,2.4049
l2,0,0,0,32,16384,6291456,64,42,17,5590678,2324704,341.2279,141.8887,2.4049
l2,0,0,0,32,16384,6291456,64,42,18,5589420,2324192,341.1511,141.8574,2.4049
