# command: ./l2 --stride random --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 1572864
# stride_bytes: 0
# cycle_length: 1572864
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
l2,0,0,0,32,16384,6291456,0,42,0,5568019,2315328,339.8449,141.3164,2.4049
l2,0,0,0,32,16384,6291456,0,42,1,5569104,2315776,339.9111,141.3438,2.4049
l2,0,0,0,32,16384,6291456,0,42,2,5572526,2317184,340.1200,141.4297,2.4049
l2,0,0,0,32,16384,6291456,0,42,3,5574495,2318016,340.2402,141.4805,2.4049
l2,0,0,0,32,16384,6291456,0,42,4,5573120,2317440,340.1562,141.4453,2.4049
l2,0,0,0,32,16384,6291456,0,42,5,5569785,2316032,339.9527,141.3594,2.4049
l2,0,0,0,32,16384,6291456,0,42,6,5573037,2317344,340.1512,141.4395,2.4049
l2,0,0,0,32,16384,6291456,0,42,7,5571759,2316864,340.0732,141.4102,2.4049
l2,0,0,0,32,16384,6291456,0,42,8,5571424,2316704,340.0527,141.4004,2.4049
l2,0,0,0,32,16384,6291456,0,42,9,5573723,2317664,340.1931,141.4590,2.4049
l2,0,0,0,32,16384,6291456,0,42,10,5576271,2318720,340.3486,141.5234,2.4049
l2,0,0,0,32,16384,6291456,0,42,11,5575314,2318336,340.2902,141.5000,2.4049
l2,0,0,0,32,16384,6291456,0,42,12,5568164,2315392,339.8538,141.3203,2.4048
l2,0,0,0,32,16384,6291456,0,42,13,5571689,2316864,340.0689,141.4102,2.4048
l2,0,0,0,32,16384,6291456,0,42,14,5573810,2317728,340.1984,141.4629,2.4049
l2,0,0,0,32,16384,6291456,0,42,15,5573219,2317472,340.1623,141.4473,2.4049
l2,0,0,0,32,16384,6291456,0,42,16,5572454,2317120,340.1156,141.4258,2.4049
l2,0,0,0,32,16384,6291456,0,42,17,5574425,2317984,340.2359,141.4785,2.4049
l2,0,0,0,32,16384,6291456,0,42,18,5572574,2317184,340.1229,141.4297,2.4049
l2,0,0,0,32,16384,6291456,0,42,19,5574330,2317952,340.2301,141.4766,2.4049
