# command: ./latency-many-threads --target remote --requesters 8 --chasers 4 --reps 11 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 11
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
# chasers: 4
# requesters: 8
# target: remote
# bank_aligned: 1
# warps_per_requester: 1
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz,chasers,warp
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7657882,3184352,467.4000,194.3574,2.4048,4,0
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7665736,3187584,467.8794,194.5547,2.4049,4,1
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7663324,3186560,467.7322,194.4922,2.4049,4,2
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7622267,3169536,465.2263,193.4531,2.4049,4,3
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7631937,3173536,465.8165,193.6973,2.4049,4,4
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7659350,3184928,467.4896,194.3926,2.4049,4,5
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7658242,3184480,467.4220,194.3652,2.4049,4,6
dsmem_loaded,9,0,1,32,16384,0,0,42,0,7637265,3175744,466.1417,193.8320,2.4049,4,7
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7642180,3177824,466.4417,193.9590,2.4048,4,0
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7668608,3188832,468.0547,194.6309,2.4048,4,1
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7667079,3188192,467.9614,194.5918,2.4048,4,2
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7611150,3164896,464.5477,193.1699,2.4049,4,3
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7609767,3164320,464.4633,193.1348,2.4049,4,4
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7667373,3188320,467.9793,194.5996,2.4048,4,5
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7666359,3187872,467.9174,194.5723,2.4049,4,6
dsmem_loaded,9,0,1,32,16384,0,0,42,1,7622045,3169408,465.2127,193.4453,2.4049,4,7
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7642180,3177760,466.4417,193.9551,2.4049,4,0
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7668608,3188800,468.0547,194.6289,2.4049,4,1
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7667079,3188160,467.9614,194.5898,2.4049,4,2
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7611150,3164896,464.5477,193.1699,2.4049,4,3
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7609767,3164320,464.4633,193.1348,2.4049,4,4
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7667373,3188288,467.9793,194.5977,2.4049,4,5
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7666359,3187840,467.9174,194.5703,2.4049,4,6
dsmem_loaded,9,0,1,32,16384,0,0,42,2,7622045,3169440,465.2127,193.4473,2.4049,4,7
dsmem_loaded,9,0,1,32,16384,0,0,42,3,7642180,3177792,466.4417,193.9570,2.4049,4,0
dsmem_loaded,9,0,1,32,16384,0,0,42,3,7668608,3188800,468.0547,194.6289,2.4049,4,1
