# command: ./smem_cluster_local --cluster-size 12 --mapped 1 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
smem_cluster_local,12,0,1,128,16384,0,0,42,0,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,1,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,2,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,3,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,4,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,5,604206,251200,36.8778,15.3320,2.4053
smem_cluster_local,12,0,1,128,16384,0,0,42,6,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,7,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,8,604206,251296,36.8778,15.3379,2.4044
smem_cluster_local,12,0,1,128,16384,0,0,42,9,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,10,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,11,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,12,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,13,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,14,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,15,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,16,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,17,604206,251200,36.8778,15.3320,2.4053
smem_cluster_local,12,0,1,128,16384,0,0,42,18,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,19,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,20,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,21,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,22,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,23,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,24,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,25,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,26,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,27,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,28,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,29,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,30,604206,251232,36.8778,15.3340,2.4050
smem_cluster_local,12,0,1,128,16384,0,0,42,31,604206,251200,36.8778,15.3320,2.4053
smem_cluster_local,12,0,1,128,16384,0,0,42,32,604206,251264,36.8778,15.3359,2.4047
smem_cluster_local,12,0,1,128,16384,0,0,42,33,604206,251200,36.8778,15.3320,2.4053
smem_cluster_local,12,0,1,128,16384,0,0,42,34,604206,251232,36.8778,15.3340,2.4050
