# command: ./smem_local --stride 64 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 64
# cycle_length: 256
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
smem_local,0,0,0,128,16384,0,64,42,0,539698,224384,32.9406,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,1,539698,224416,32.9406,13.6973,2.4049
smem_local,0,0,0,128,16384,0,64,42,2,539698,224416,32.9406,13.6973,2.4049
smem_local,0,0,0,128,16384,0,64,42,3,539698,224480,32.9406,13.7012,2.4042
smem_local,0,0,0,128,16384,0,64,42,4,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,5,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,6,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,7,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,8,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,9,539684,224448,32.9397,13.6992,2.4045
smem_local,0,0,0,128,16384,0,64,42,10,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,11,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,12,539684,224448,32.9397,13.6992,2.4045
smem_local,0,0,0,128,16384,0,64,42,13,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,14,539684,224448,32.9397,13.6992,2.4045
smem_local,0,0,0,128,16384,0,64,42,15,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,16,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,17,539684,224448,32.9397,13.6992,2.4045
smem_local,0,0,0,128,16384,0,64,42,18,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,19,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,20,539684,224448,32.9397,13.6992,2.4045
smem_local,0,0,0,128,16384,0,64,42,21,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,22,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,23,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,24,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,25,539684,224448,32.9397,13.6992,2.4045
smem_local,0,0,0,128,16384,0,64,42,26,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,27,539684,224384,32.9397,13.6953,2.4052
smem_local,0,0,0,128,16384,0,64,42,28,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,29,539684,224352,32.9397,13.6934,2.4055
smem_local,0,0,0,128,16384,0,64,42,30,539684,224416,32.9397,13.6973,2.4048
smem_local,0,0,0,128,16384,0,64,42,31,539684,224384,32.9397,13.6953,2.4052
